variable,descripcion,correlacion_esperada,missing_rate,n_unique,iv,ks,auc_univariado,categoria_iv,comentario
x120,Promedio del saldo promedio de captación del mes 0 a 5 entre promedio del monto de los retiros del mes 0 al 5,Negativa,0.06431897555296857,6369,0.46969442289706076,0.24812189736732493,0.661291828200417,Fuerte,Variable candidata para modelacion.
x85,Porcentaje de la suma del saldo promedio de las chequeras del mes 0 a 11  entre 12 a 23,Negativa,0.039435389988358556,6199,0.4668189858766151,0.27288501163900136,0.6403349670409587,Fuerte,Variable candidata para modelacion.
x87,Porcentaje del promedio del saldo promedio de las chequeras del mes 0 a 11  entre 12 a 23,Negativa,0.039435389988358556,6200,0.4513269907133147,0.27212140612811286,0.6417231005429462,Fuerte,Variable candidata para modelacion.
x97,Promedio de los últimos 6 meses de: porcentaje del promedio del saldo promedio de las chequeras del mes 0 a 5  entre 12 a 17,Negativa,0.03958090803259604,6201,0.40516053925347356,0.23717323054925243,0.6019864163376955,Fuerte,Variable candidata para modelacion.
x81,Porcentaje de la suma del Saldo al cierre de las chequeras del mes 0 a 11  entre 12 a 23,Negativa,0.039435389988358556,6169,0.40309470261167196,0.24527120893328325,0.6190498907581046,Fuerte,Variable candidata para modelacion.
x99,"Suma del número de veces que el monto de los retiros fue mayor a 100,000 considerando 12 meses.",Negativa,0.0480209545983702,6527,0.3731750971829026,0.24727438589113826,0.6555327024520268,Fuerte,Variable candidata para modelacion.
x112,"Suma del número de veces que el monto de los retiros fue mayor a 15,000 considerando 3 meses.",Negativa,0.05107683352735739,6505,0.35815692429409623,0.22886420434979765,0.6477894722486456,Fuerte,Variable candidata para modelacion.
x109,"Promedio del número de veces que el monto de los retiros fue mayor a 30,000 considerando 3 meses.",Negativa,0.05107683352735739,6503,0.3338109586034317,0.22442166920671935,0.6413588770580394,Fuerte,Variable candidata para modelacion.
x104,"Promedio del número de veces que el monto de los retiros fue mayor a 100,000 considerando 3 meses.",Negativa,0.05107683352735739,6504,0.3338109586034317,0.22442166920671935,0.6413588770580394,Fuerte,Variable candidata para modelacion.
x111,"Suma del número de veces que el monto de los retiros fue mayor a 15,000 considerando 6 meses.",Negativa,0.05064027939464494,6517,0.32606568728109464,0.20730776413305585,0.6401069972478828,Fuerte,Variable candidata para modelacion.
x101,"Suma del número de veces que el monto de los retiros fue mayor a 100,000 considerando 6 meses.",Negativa,0.05064027939464494,6517,0.32606568728109464,0.20730776413305585,0.6401069972478828,Fuerte,Variable candidata para modelacion.
x106,"Suma del número de veces que el monto de los retiros fue mayor a 30,000 considerando 6 meses.",Negativa,0.05064027939464494,6517,0.32606568728109464,0.20730776413305585,0.6401069972478828,Fuerte,Variable candidata para modelacion.
x96,Promedio de los últimos 6 meses de: porcentaje del promedio del saldo promedio de las chequeras del mes 0 a 11  entre 12 a 23,Negativa,0.039435389988358556,6232,0.3169713102748852,0.22457492004985036,0.6167422916867384,Fuerte,Variable candidata para modelacion.
x108,"Promedio del número de veces que el monto de los retiros fue mayor a 30,000 considerando 6 meses.",Negativa,0.05064027939464494,6513,0.30107103764969695,0.20544098623668755,0.632445642617333,Fuerte,Variable candidata para modelacion.
x103,"Promedio del número de veces que el monto de los retiros fue mayor a 100,000 considerando 6 meses.",Negativa,0.05064027939464494,6515,0.30107103764969695,0.20544098623668755,0.632445472228697,Fuerte,Variable candidata para modelacion.
x95,Promedio de los últimos 12 meses de: porcentaje del promedio del saldo promedio de las chequeras del mes 0 a 11  entre 12 a 23,Negativa,0.039435389988358556,6257,0.299466557430071,0.2087489860549535,0.5970611910008298,Medio,Variable candidata para modelacion.
x100,"Suma del número de veces que el monto de los retiros fue mayor a 100,000 considerando 12 meses.",Negativa,0.04991268917345751,6527,0.2596823717473364,0.1762070027262958,0.6163107392672919,Medio,Variable candidata para modelacion.
x105,"Suma del número de veces que el monto de los retiros fue mayor a 30,000 considerando 12 meses.",Negativa,0.04991268917345751,6528,0.2596823717473364,0.1762070027262958,0.6163107392672919,Medio,Variable candidata para modelacion.
x110,"Suma del número de veces que el monto de los retiros fue mayor a 15,000 considerando 12 meses.",Negativa,0.04991268917345751,6528,0.2596823717473364,0.1762070027262958,0.6163107392672919,Medio,Variable candidata para modelacion.
x107,"Promedio del número de veces que el monto de los retiros fue mayor a 30,000 considerando 12 meses.",Negativa,0.04991268917345751,6526,0.23021693676656718,0.16743133452553544,0.6093607580611287,Medio,Variable candidata para modelacion.
x113,"Promedio del número de veces que el monto de los retiros fue mayor a 15,000 considerando 12 meses.",Negativa,0.04991268917345751,6526,0.23021693676656718,0.16743133452553544,0.6093607580611287,Medio,Variable candidata para modelacion.
x102,"Promedio del número de veces que el monto de los retiros fue mayor a 100,000 considerando 12 meses.",Negativa,0.04991268917345751,6526,0.23021693676656718,0.16743133452553544,0.6093607580611287,Medio,Variable candidata para modelacion.
x20,Buró: Máximo plazo de los contratos,Negativa,0.02852153667054715,881,0.18745573516683944,0.18513321644336872,0.5993630707914848,Medio,Variable candidata para modelacion.
x57,Máxima diferencia entre la fecha de información y fecha de alta de la cuenta en los últimos 3 meses.,Negativa,0.039144353899883584,403,0.1605549162355236,0.1682724959533226,0.5915102106757717,Medio,Variable candidata para modelacion.
x56,Máxima diferencia entre la fecha de información y fecha de alta de la cuenta en los últimos 6 meses.,Negativa,0.039144353899883584,418,0.16043895455305646,0.1708934380136018,0.5913652759352407,Medio,Variable candidata para modelacion.
x11,"Deuda Total (Instituciones Bancarias)Valor: numérico dos decimales, en pesos.Ej.5000000.00(pesos)",Negativa,0.033469150174621654,6459,0.15907885932192578,0.12522488315658092,0.580124730798991,Medio,Variable candidata para modelacion.
x55,Máxima diferencia entre la fecha de información y fecha de alta de la cuenta en los últimos 12 meses.,Negativa,0.039144353899883584,463,0.15806319041369837,0.16696886000205047,0.5908103918053618,Medio,Variable candidata para modelacion.
x35,"Buró: Porcentaje de incremento del saldo vigente mes t - mes t-11 , expresado en porcentaje.",Positiva,0.07246798603026776,5732,0.129315431475929,0.1379162177415217,0.5609088810220101,Medio,Variable candidata para modelacion.
x15,"Deuda Total de AcreditadoValor: numérico dos decimales, en pesos.Ej.5000000.00(pesos)",Negativa,0.033469150174621654,6533,0.1258082212698664,0.11379147611986418,0.5740471961172771,Medio,Variable candidata para modelacion.
x16,"Deuda a Corto Plazo del AcreditadoValor: numérico dos decimales, en pesos.Ej.5000000.00(pesos)",Negativa,0.033469150174621654,5368,0.12382679790272487,0.12981896756172762,0.5777179420226668,Medio,Variable candidata para modelacion.
x14,"Deuda a Corto Plazo (Instituciones No Bancarias)Valor: numérico dos decimales, en pesos.Ej.5000000.00(pesos)",Negativa,0.033469150174621654,2074,0.11515514833928771,0.13934730583390625,0.561407475104147,Medio,Variable candidata para modelacion.
x12,"Deuda a Corto Plazo (Instituciones Bancarias)Valor: numérico dos decimales, en pesos.Ej.5000000.00(pesos)",Negativa,0.033469150174621654,4887,0.10460512973873921,0.12324555204472987,0.5581993716447193,Medio,Variable candidata para modelacion.
x21,Buró: Media ponderada plazo de los contratos,Negativa,0.03594295692665891,4969,0.10063314480657365,0.07607480160326896,0.5415061155559613,Medio,Variable candidata para modelacion.
